pwsid,pwsname,size,facilitywatertype,collectiondate,sampleid,contaminant,mrl,methodid,analyticalresultssign,analyticalresultvalue,sampleeventcode,monitoringrequirement,region,state
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,700-75588-3,"1,4-dioxane",0.07,EPA 522,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,9/24/2013,2902813,vanadium,0.2,EPA 200.8,<,,SE2,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,700-75588-1,PFOA,0.02,EPA 537,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,9/24/2013,2902817,chlorate,20.0,EPA 300.1,<,,SE2,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,2801148,vanadium,0.2,EPA 200.8,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,2801148,molybdenum,1.0,EPA 200.8,=,2.60,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,2801148,strontium,0.3,EPA 200.8,=,260,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,700-75588-1,PFOS,0.04,EPA 537,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,700-75588-3,PFOS,0.04,EPA 537,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,9/24/2013,2902825,"1,4-dioxane",0.07,EPA 522,<,,SE2,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,2801150,molybdenum,1.0,EPA 200.8,=,2.40,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,2801150,vanadium,0.2,EPA 200.8,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,2801150,strontium,0.3,EPA 200.8,=,330,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,9/24/2013,2902813,molybdenum,1.0,EPA 200.8,=,2.50,SE2,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,700-75588-3,PFOA,0.02,EPA 537,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,9/24/2013,2902828,PFOS,0.04,EPA 537,<,,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297715,chlorate,20.0,EPA 300.1,=,1200,SE3,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,9/24/2013,2902813,strontium,0.3,EPA 200.8,=,260,SE2,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,700-75588-1,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,4/16/2013,700-76071-2,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,3/26/2013,700-75588-1,"1,4-dioxane",0.07,EPA 522,<,,SE1,AM,4,FL
FL1460775,Bluewater Bay - Raintree Development,L,GW,4/16/2013,700-76071-1,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297690,strontium,0.3,EPA 200.8,=,25,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297686,PFOA,0.02,EPA 537,<,,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297688,chlorate,20.0,EPA 300.1,=,1300,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297690,vanadium,0.2,EPA 200.8,<,,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297692,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297686,PFOS,0.04,EPA 537,<,,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297685,"1,4-dioxane",0.07,EPA 522,<,,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297690,molybdenum,1.0,EPA 200.8,<,,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240839,"1,4-dioxane",0.07,EPA 522,<,,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240848,strontium,0.3,EPA 200.8,=,23,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240840,PFOS,0.04,EPA 537,<,,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297713,vanadium,0.2,EPA 200.8,<,,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297713,molybdenum,1.0,EPA 200.8,<,,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,8/11/2015,3297713,strontium,0.3,EPA 200.8,=,24,SE3,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240848,vanadium,0.2,EPA 200.8,<,,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240848,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356119,chlorate,20.0,EPA 300.1,=,1100,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186091,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186091,vanadium,0.2,EPA 200.8,<,,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186091,strontium,0.3,EPA 200.8,=,15,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186093,chlorate,20.0,EPA 300.1,=,460,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356117,strontium,0.3,EPA 200.8,=,22,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356117,molybdenum,1.0,EPA 200.8,<,,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356117,vanadium,0.2,EPA 200.8,<,,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240850,chlorate,20.0,EPA 300.1,=,320,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356095,PFOA,0.02,EPA 537,<,,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186117,chlorate,20.0,EPA 300.1,=,460,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186119,strontium,0.3,EPA 200.8,=,15,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186119,molybdenum,1.0,EPA 200.8,<,,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186114,"1,4-dioxane",0.07,EPA 522,<,,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186119,vanadium,0.2,EPA 200.8,<,,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240840,PFOA,0.02,EPA 537,<,,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356099,molybdenum,1.0,EPA 200.8,<,,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356099,strontium,0.3,EPA 200.8,=,21,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186115,PFOA,0.02,EPA 537,<,,SE1,AM,4,FL
FL1460035,Auburn Water System,L,GW,8/25/2014,3092292,chlorate,20.0,EPA 300.1,<,,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356101,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356097,chlorate,20.0,EPA 300.1,=,1100,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356094,"1,4-dioxane",0.07,EPA 522,<,,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356095,PFOS,0.04,EPA 537,<,,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240842,chlorate,20.0,EPA 300.1,=,280,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,11/10/2015,3356099,vanadium,0.2,EPA 200.8,<,,SE4,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,2/11/2015,3186115,PFOS,0.04,EPA 537,<,,SE1,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240844,molybdenum,1.0,EPA 200.8,<,,SE2,AM,4,FL
FL1230545,City of Port St. Joe,L,SW,5/12/2015,3240844,vanadium,0.2,EPA 200.8,<,,SE2,AM,4,FL
