year,pwsid,pwsname,eparegion,pwstype,populationservedcount,iswholesaler,primarysourcedummy,ownertypedummy,size_dummy,source_gw_sw,source_purchased,owner_dummy,married,single,divorced_widowed_separated,less_than_hs,hs_more,college_more,average_household_size,median_household_income,per_capita_income,median_year_structure_built,owner_occupied_housing_units,total_pop,median_age,population_over_15,population_over_18,population_over_25,pop_density,unemployment,housing_density
2013,FL1030141,"CALLAWAY, CITY OF WATER SYSTEM",Region 4,Community water system,14800,N,5,2,1,1,1,0,0.495755046140733,0.26889986013334,0.235345093725927,0.121258815675288,0.878741184324712,0.570935113644359,2.575,46181.6845617799,24405.815110517,1987.5,0.605240525573727,175056,39.8,0.818249015548359,0.784135807367513,0.694149228192509,230.80465,0.104448312430306,131.865338240406
2013,FL1030050,BAY COUNTY WATER SYSTEM,Region 4,Community water system,20807,N,4,2,1,1,0,0,0.495755046140733,0.26889986013334,0.235345093725927,0.121258815675288,0.878741184324712,0.570935113644359,2.575,46181.6845617799,24405.815110517,1987.5,0.605240525573727,175056,39.8,0.818249015548359,0.784135807367513,0.694149228192509,230.80465,0.104448312430306,131.865338240406
2014,FL1030050,BAY COUNTY WATER SYSTEM,Region 4,Community water system,20807,N,4,2,1,1,0,0,0.489934833034764,0.272223726369927,0.237841440595308,0.118182547211538,0.881817452788462,0.575520824458435,2.63,45033.2560102184,23845.0305952905,1988,0.596543851646058,177124,39.9,0.818152249886461,0.785373379019254,0.697129126720533,233.5312,0.110414192029197,132.025531402058
2015,FL1030050,BAY COUNTY WATER SYSTEM,Region 4,Community water system,20807,N,4,2,1,1,0,0,0.484114619928796,0.275547592606514,0.24033778746469,0.115106278747787,0.884893721252213,0.580106535272511,2.685,43884.8274586568,23284.2460800641,1988.5,0.58784717771839,179192,40,0.818055484224563,0.786610950670996,0.700109025248556,236.25775,0.116380071628089,132.185724563709
2014,FL1030141,"CALLAWAY, CITY OF WATER SYSTEM",Region 4,Community water system,14800,N,5,2,1,1,1,0,0.489934833034764,0.272223726369927,0.237841440595308,0.118182547211538,0.881817452788462,0.575520824458435,2.63,45033.2560102184,23845.0305952905,1988,0.596543851646058,177124,39.9,0.818152249886461,0.785373379019254,0.697129126720533,233.5312,0.110414192029197,132.025531402058
2013,FL1030148,"SPRINGFIELD, CITY OF",Region 4,Community water system,13940,N,5,2,1,1,1,0,0.495755046140733,0.26889986013334,0.235345093725927,0.121258815675288,0.878741184324712,0.570935113644359,2.575,46181.6845617799,24405.815110517,1987.5,0.605240525573727,175056,39.8,0.818249015548359,0.784135807367513,0.694149228192509,230.80465,0.104448312430306,131.865338240406
2014,FL1030148,"SPRINGFIELD, CITY OF",Region 4,Community water system,13940,N,5,2,1,1,1,0,0.489934833034764,0.272223726369927,0.237841440595308,0.118182547211538,0.881817452788462,0.575520824458435,2.63,45033.2560102184,23845.0305952905,1988,0.596543851646058,177124,39.9,0.818152249886461,0.785373379019254,0.697129126720533,233.5312,0.110414192029197,132.025531402058
2015,FL1030148,"SPRINGFIELD, CITY OF",Region 4,Community water system,13940,N,5,2,1,1,1,0,0.484114619928796,0.275547592606514,0.24033778746469,0.115106278747787,0.884893721252213,0.580106535272511,2.685,43884.8274586568,23284.2460800641,1988.5,0.58784717771839,179192,40,0.818055484224563,0.786610950670996,0.700109025248556,236.25775,0.116380071628089,132.185724563709
2013,FL1030435,"LYNN HAVEN, CITY OF WATER SYS.",Region 4,Community water system,20740,N,5,2,1,1,1,0,0.495755046140733,0.26889986013334,0.235345093725927,0.121258815675288,0.878741184324712,0.570935113644359,2.575,46181.6845617799,24405.815110517,1987.5,0.605240525573727,175056,39.8,0.818249015548359,0.784135807367513,0.694149228192509,230.80465,0.104448312430306,131.865338240406
2014,FL1030435,"LYNN HAVEN, CITY OF WATER SYS.",Region 4,Community water system,20740,N,5,2,1,1,1,0,0.489934833034764,0.272223726369927,0.237841440595308,0.118182547211538,0.881817452788462,0.575520824458435,2.63,45033.2560102184,23845.0305952905,1988,0.596543851646058,177124,39.9,0.818152249886461,0.785373379019254,0.697129126720533,233.5312,0.110414192029197,132.025531402058
2015,FL1030435,"LYNN HAVEN, CITY OF WATER SYS.",Region 4,Community water system,20740,N,5,2,1,1,1,0,0.484114619928796,0.275547592606514,0.24033778746469,0.115106278747787,0.884893721252213,0.580106535272511,2.685,43884.8274586568,23284.2460800641,1988.5,0.58784717771839,179192,40,0.818055484224563,0.786610950670996,0.700109025248556,236.25775,0.116380071628089,132.185724563709
2015,FL1030141,"CALLAWAY, CITY OF WATER SYSTEM",Region 4,Community water system,14800,N,5,2,1,1,1,0,0.484114619928796,0.275547592606514,0.24033778746469,0.115106278747787,0.884893721252213,0.580106535272511,2.685,43884.8274586568,23284.2460800641,1988.5,0.58784717771839,179192,40,0.818055484224563,0.786610950670996,0.700109025248556,236.25775,0.116380071628089,132.185724563709
2013,FL1030515,"PANAMA CITY BEACH, CITY OF",Region 4,Community water system,63693,N,5,2,1,1,1,0,0.495755046140733,0.26889986013334,0.235345093725927,0.121258815675288,0.878741184324712,0.570935113644359,2.575,46181.6845617799,24405.815110517,1987.5,0.605240525573727,175056,39.8,0.818249015548359,0.784135807367513,0.694149228192509,230.80465,0.104448312430306,131.865338240406
2014,FL1030515,"PANAMA CITY BEACH, CITY OF",Region 4,Community water system,63693,N,5,2,1,1,1,0,0.489934833034764,0.272223726369927,0.237841440595308,0.118182547211538,0.881817452788462,0.575520824458435,2.63,45033.2560102184,23845.0305952905,1988,0.596543851646058,177124,39.9,0.818152249886461,0.785373379019254,0.697129126720533,233.5312,0.110414192029197,132.025531402058
2015,FL1030515,"PANAMA CITY BEACH, CITY OF",Region 4,Community water system,63693,N,5,2,1,1,1,0,0.484114619928796,0.275547592606514,0.24033778746469,0.115106278747787,0.884893721252213,0.580106535272511,2.685,43884.8274586568,23284.2460800641,1988.5,0.58784717771839,179192,40,0.818055484224563,0.786610950670996,0.700109025248556,236.25775,0.116380071628089,132.185724563709
2013,FL1030520,"PARKER, CITY OF WATER SYSTEM",Region 4,Community water system,4317,N,5,2,0,1,1,0,0.495755046140733,0.26889986013334,0.235345093725927,0.121258815675288,0.878741184324712,0.570935113644359,2.575,46181.6845617799,24405.815110517,1987.5,0.605240525573727,175056,39.8,0.818249015548359,0.784135807367513,0.694149228192509,230.80465,0.104448312430306,131.865338240406
2013,FL1030517,PANAMA CITY WATER SYSTEM,Region 4,Community water system,37640,N,5,2,1,1,1,0,0.495755046140733,0.26889986013334,0.235345093725927,0.121258815675288,0.878741184324712,0.570935113644359,2.575,46181.6845617799,24405.815110517,1987.5,0.605240525573727,175056,39.8,0.818249015548359,0.784135807367513,0.694149228192509,230.80465,0.104448312430306,131.865338240406
2014,FL1030517,PANAMA CITY WATER SYSTEM,Region 4,Community water system,37640,N,5,2,1,1,1,0,0.489934833034764,0.272223726369927,0.237841440595308,0.118182547211538,0.881817452788462,0.575520824458435,2.63,45033.2560102184,23845.0305952905,1988,0.596543851646058,177124,39.9,0.818152249886461,0.785373379019254,0.697129126720533,233.5312,0.110414192029197,132.025531402058
2015,FL1030517,PANAMA CITY WATER SYSTEM,Region 4,Community water system,37640,N,5,2,1,1,1,0,0.484114619928796,0.275547592606514,0.24033778746469,0.115106278747787,0.884893721252213,0.580106535272511,2.685,43884.8274586568,23284.2460800641,1988.5,0.58784717771839,179192,40,0.818055484224563,0.786610950670996,0.700109025248556,236.25775,0.116380071628089,132.185724563709
2014,FL1030520,"PARKER, CITY OF WATER SYSTEM",Region 4,Community water system,4317,N,5,2,0,1,1,0,0.489934833034764,0.272223726369927,0.237841440595308,0.118182547211538,0.881817452788462,0.575520824458435,2.63,45033.2560102184,23845.0305952905,1988,0.596543851646058,177124,39.9,0.818152249886461,0.785373379019254,0.697129126720533,233.5312,0.110414192029197,132.025531402058
2015,FL1030520,"PARKER, CITY OF WATER SYSTEM",Region 4,Community water system,4317,N,5,2,0,1,1,0,0.484114619928796,0.275547592606514,0.24033778746469,0.115106278747787,0.884893721252213,0.580106535272511,2.685,43884.8274586568,23284.2460800641,1988.5,0.58784717771839,179192,40,0.818055484224563,0.786610950670996,0.700109025248556,236.25775,0.116380071628089,132.185724563709
2013,FL1170126,"CENTRAL WATER WORKS, INC.",Region 4,Community water system,2448,N,0,2,0,0,0,0,0.407575267460339,0.350280143024205,0.242144589515456,0.110018936314265,0.889981063685735,0.60252457912428,2.59,44329.8742341748,23674.3362416513,1981.25,0.611755106971178,307339,37,0.824501061108625,0.790750401077758,0.657988384255448,468.17545,0.110560855915611,210.646121555627
2014,FL1170126,"CENTRAL WATER WORKS, INC.",Region 4,Community water system,2448,N,0,2,0,0,0,0,0.398149121397171,0.354730180393517,0.247120698209312,0.105497450866701,0.894502549133299,0.608911387389469,2.65,43723.4734151258,23306.1684366008,1981.5,0.599398821086803,310579,36.8,0.82546110432505,0.792853026266742,0.659016370745695,473.111,0.11202517848289,211.447387529185
2015,FL1170126,"CENTRAL WATER WORKS, INC.",Region 4,Community water system,2448,N,0,2,0,0,0,0,0.388722975334003,0.359180217762829,0.252096806903168,0.100975965419137,0.899024034580863,0.615298195654659,2.71,43117.0725960768,22938.0006315502,1981.75,0.587042535202427,313819,36.6,0.826421147541475,0.794955651455727,0.660044357235942,478.04655,0.11348950105017,212.248653502742
2013,FL1170525,EMERALD COAST UTILITIES AUTHORITY,Region 4,Community water system,249872,N,0,2,1,0,0,0,0.407575267460339,0.350280143024205,0.242144589515456,0.110018936314265,0.889981063685735,0.60252457912428,2.59,44329.8742341748,23674.3362416513,1981.25,0.611755106971178,307339,37,0.824501061108625,0.790750401077758,0.657988384255448,468.17545,0.110560855915611,210.646121555627
2013,FL1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",Region 4,Community water system,6090,N,0,4,0,0,0,1,0.407575267460339,0.350280143024205,0.242144589515456,0.110018936314265,0.889981063685735,0.60252457912428,2.59,44329.8742341748,23674.3362416513,1981.25,0.611755106971178,307339,37,0.824501061108625,0.790750401077758,0.657988384255448,468.17545,0.110560855915611,210.646121555627
2014,FL1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",Region 4,Community water system,6090,N,0,4,0,0,0,1,0.398149121397171,0.354730180393517,0.247120698209312,0.105497450866701,0.894502549133299,0.608911387389469,2.65,43723.4734151258,23306.1684366008,1981.5,0.599398821086803,310579,36.8,0.82546110432505,0.792853026266742,0.659016370745695,473.111,0.11202517848289,211.447387529185
2015,FL1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",Region 4,Community water system,6090,N,0,4,0,0,0,1,0.388722975334003,0.359180217762829,0.252096806903168,0.100975965419137,0.899024034580863,0.615298195654659,2.71,43117.0725960768,22938.0006315502,1981.75,0.587042535202427,313819,36.6,0.826421147541475,0.794955651455727,0.660044357235942,478.04655,0.11348950105017,212.248653502742
2013,FL1170527,PEOPLES WATER SERVICE COMPANY,Region 4,Community water system,34352,N,0,5,1,0,0,1,0.407575267460339,0.350280143024205,0.242144589515456,0.110018936314265,0.889981063685735,0.60252457912428,2.59,44329.8742341748,23674.3362416513,1981.25,0.611755106971178,307339,37,0.824501061108625,0.790750401077758,0.657988384255448,468.17545,0.110560855915611,210.646121555627
2014,FL1170527,PEOPLES WATER SERVICE COMPANY,Region 4,Community water system,34352,N,0,5,1,0,0,1,0.398149121397171,0.354730180393517,0.247120698209312,0.105497450866701,0.894502549133299,0.608911387389469,2.65,43723.4734151258,23306.1684366008,1981.5,0.599398821086803,310579,36.8,0.82546110432505,0.792853026266742,0.659016370745695,473.111,0.11202517848289,211.447387529185
2015,FL1170527,PEOPLES WATER SERVICE COMPANY,Region 4,Community water system,34352,N,0,5,1,0,0,1,0.388722975334003,0.359180217762829,0.252096806903168,0.100975965419137,0.899024034580863,0.615298195654659,2.71,43117.0725960768,22938.0006315502,1981.75,0.587042535202427,313819,36.6,0.826421147541475,0.794955651455727,0.660044357235942,478.04655,0.11348950105017,212.248653502742
2014,FL1170525,EMERALD COAST UTILITIES AUTHORITY,Region 4,Community water system,249872,N,0,2,1,0,0,0,0.398149121397171,0.354730180393517,0.247120698209312,0.105497450866701,0.894502549133299,0.608911387389469,2.65,43723.4734151258,23306.1684366008,1981.5,0.599398821086803,310579,36.8,0.82546110432505,0.792853026266742,0.659016370745695,473.111,0.11202517848289,211.447387529185
